Ngày,Đóng cửa,Mở cửa,Cao nhất,Thấp nhất,KL,% Thay đổi
16/09/2022,"74,665.00","73,387.80","74,665.00","73,093.10",2.31M,2.01%
15/09/2022,"73,191.30","72,798.40","73,879.00","72,798.40",1.21M,0.68%
14/09/2022,"72,700.10","73,584.30","73,682.60","72,503.60",2.04M,-2.25%
13/09/2022,"74,370.30","73,879.00","74,665.00","73,879.00",1.56M,0.53%
12/9/2022,"73,977.30","74,665.00","74,861.50","73,977.30",1.39M,-0.79%
9/9/2022,"74,566.70","74,566.70","75,156.20","74,173.80",1.19M,0.26%
8/9/2022,"74,370.30","74,665.00","75,156.20","73,879.00",1.35M,0.00%
7/9/2022,"74,370.30","76,433.40","76,433.40","74,370.30",2.92M,-2.70%
6/9/2022,"76,433.40","76,138.60","77,612.30","75,942.10",2.65M,0.39%
5/9/2022,"76,138.60","74,173.80","76,433.40","74,173.80",3.17M,2.65%
31/08/2022,"74,173.80","74,566.70","75,058.00","74,173.80",1.66M,-0.66%
30/08/2022,"74,665.00","74,173.80","75,058.00","74,173.80",2.23M,0.66%
29/08/2022,"74,173.80","74,763.20","74,959.70","74,075.50",3.31M,-1.82%
26/08/2022,"75,549.20","76,433.40","76,728.10","74,861.50",2.46M,-1.28%
25/08/2022,"76,531.60","76,531.60","76,924.60","75,647.40",2.18M,0.26%
24/08/2022,"76,335.10","74,468.50","76,924.60","74,468.50",5.44M,2.51%
23/08/2022,"74,468.50","72,405.40","74,566.70","72,307.10",4.55M,2.85%
22/08/2022,"72,405.40","72,798.40","73,486.10","72,405.40",2.07M,-0.54%
19/08/2022,"72,798.40","72,110.70","73,191.30","71,619.40",5.23M,0.95%
18/08/2022,"72,110.70","71,324.70","72,307.10","71,324.70",4.23M,1.10%
17/08/2022,"71,324.70","70,538.80","71,324.70","70,440.50",1.32M,1.11%
16/08/2022,"70,538.80","70,538.80","71,128.20","70,440.50",1.69M,0.42%
15/08/2022,"70,244.00","70,735.20","70,735.20","70,047.50",2.53M,-0.56%
12/8/2022,"70,637.00","69,752.80","70,637.00","69,752.80",1.80M,1.13%
11/8/2022,"69,851.10","71,324.70","71,324.70","69,458.10",3.88M,-1.93%
10/8/2022,"71,226.50","70,735.20","71,324.70","70,735.20",1.54M,0.69%
9/8/2022,"70,735.20","70,931.70","71,128.20","70,735.20",2.13M,-0.28%
8/8/2022,"70,931.70","71,226.50","71,226.50","70,833.50",2.80M,-0.55%
5/8/2022,"71,324.70","72,012.40","72,110.70","71,324.70",2.14M,-0.95%
4/8/2022,"72,012.40","72,110.70","72,110.70","71,521.20",1.72M,-0.14%
3/8/2022,"72,110.70","71,521.20","72,208.90","71,226.50",3.13M,0.00%
2/8/2022,"72,110.70","72,110.70","72,896.60","71,423.00",2.60M,-0.14%
1/8/2022,"72,208.90","71,521.20","72,208.90","70,931.70",2.53M,0.96%
29/07/2022,"71,521.20","71,423.00","72,307.10","71,128.20",2.58M,0.28%
28/07/2022,"71,324.70","71,226.50","71,521.20","71,030.00",1.22M,0.55%
27/07/2022,"70,931.70","70,735.20","71,324.70","70,538.80",789.50K,0.28%
26/07/2022,"70,735.20","71,619.40","71,717.70","70,538.80",1.15M,-1.23%
25/07/2022,"71,619.40","70,735.20","71,619.40","70,538.80",1.24M,1.25%
